segmentId,time,dimensionlessDischarge,overThreshold,threshold
129,312.000000,866.235657,1,150.261160
130,312.000000,668.165032,1,51.170728
131,312.000000,718.452915,1,54.471626
132,312.000000,806.736088,1,101.300485
133,312.000000,808.875592,1,137.645522
134,312.000000,944.800923,1,59.260919
135,312.000000,1409.779982,1,71.966300
136,312.000000,2074.363256,1,78.960103
137,312.000000,2962.161693,1,147.175418
138,312.000000,3152.806737,1,101.998630
1,336.000000,0.000000,0,450.162586
2,336.000000,49.453620,0,51.160831
3,336.000000,0.000000,0,381.152321
4,336.000000,115.509119,1,52.225016
5,336.000000,87.919553,1,52.258619
6,336.000000,364.501193,1,56.492945
7,336.000000,17.208127,0,288.785928
8,336.000000,0.000000,0,42.607805
9,336.000000,207.063154,1,43.789737
10,336.000000,0.001196,0,154.335258
11,336.000000,0.000000,0,292.037236
12,336.000000,17.538480,0,57.031906
13,336.000000,312.420998,1,107.326159
14,336.000000,0.000000,0,178.260347
15,336.000000,344.433319,1,191.906118
16,336.000000,88.771009,1,60.697337
17,336.000000,174.831200,1,49.104228
18,336.000000,336.209603,1,108.573805
19,336.000000,2492.387854,1,79.254143
20,336.000000,0.000000,0,248.648946
21,336.000000,264.342343,1,123.753423
22,336.000000,0.014390,0,53.891057
23,336.000000,0.000000,0,39.344742
24,336.000000,123.646587,1,40.813500
25,336.000000,975.322756,1,23.495425
26,336.000000,399.070890,1,47.531385
27,336.000000,687.783515,1,56.790344
28,336.000000,799.014296,1,46.396326
29,336.000000,0.000000,0,52.101336
30,336.000000,318.287918,1,77.602311
31,336.000000,26.304259,0,75.862225
32,336.000000,83.399518,0,136.050582
33,336.000000,60.784297,0,190.218019
34,336.000000,324.455705,1,78.372864
35,336.000000,115.000653,1,28.582419
36,336.000000,689.889588,1,47.343457
37,336.000000,60.979861,1,47.305638
38,336.000000,136.217842,1,31.052056
39,336.000000,43.201590,0,75.289383
40,336.000000,120.930755,1,66.439213
41,336.000000,146.843485,1,100.633601
42,336.000000,427.573088,1,118.393540
43,336.000000,175.375770,1,173.776110
44,336.000000,100.874915,1,50.892688
45,336.000000,269.776013,1,47.607844
46,336.000000,27.773998,0,38.919038
47,336.000000,692.266443,1,130.419045
48,336.000000,3160.915837,1,42.044462
49,336.000000,3183.480913,1,46.893745
50,336.000000,411.366349,1,66.011718
51,336.000000,1471.995120,1,1181.166341
52,336.000000,6.301373,0,78.372864
53,336.000000,0.001375,0,104.293003
54,336.000000,0.000116,0,47.169590
55,336.000000,651.920087,1,57.875533
56,336.000000,212.541955,1,39.422379
57,336.000000,2096.746856,1,66.041452
58,336.000000,1674.328635,1,106.392786
59,336.000000,1198.295793,1,126.308648
60,336.000000,0.000000,0,81.983475
61,336.000000,0.000000,0,97.968849
62,336.000000,8.037078,0,34.718733
63,336.000000,0.000000,0,64.572746
64,336.000000,327.253775,1,51.180628
65,336.000000,536.326725,1,63.765433
66,336.000000,0.000000,0,113.689850
67,336.000000,1287.142018,1,79.361079
68,336.000000,0.000000,0,89.757826
69,336.000000,1832.013385,1,68.091890
70,336.000000,0.000000,0,40.724000
71,336.000000,48.821798,1,42.006685
72,336.000000,0.000000,0,38.777822
73,336.000000,55.933307,1,48.185216
74,336.000000,78.522453,1,70.453741
75,336.000000,91.193996,1,61.819628
76,336.000000,153.582921,1,105.244662
77,336.000000,93.194767,0,111.440239
78,336.000000,262.908207,1,54.729799
79,336.000000,202.142965,1,34.395239
80,336.000000,0.000000,0,49.378177
81,336.000000,0.000000,0,47.976722
82,336.000000,438.133543,1,44.762856
83,336.000000,0.000000,0,31.047587
84,336.000000,418.737607,1,66.101004
85,336.000000,137.035199,1,93.958648
86,336.000000,935.397615,1,84.865091
87,336.000000,965.303862,1,59.049141
88,336.000000,110.508699,1,63.199054
89,336.000000,241.576689,1,46.000685
90,336.000000,1438.548663,1,47.752969
91,336.000000,153.763442,1,54.590463
92,336.000000,588.998627,1,62.677477
93,336.000000,965.584672,1,79.254143
94,336.000000,1835.192554,1,94.809695
95,336.000000,214.137556,1,112.875211
96,336.000000,342.357332,1,43.945868
97,336.000000,2571.315475,1,49.288793
98,336.000000,308.329198,1,52.868705
99,336.000000,1976.098917,1,50.557409
100,336.000000,629.846428,1,41.343211
101,336.000000,246.390571,1,102.378880
102,336.000000,2626.374261,1,67.047738
103,336.000000,2300.233696,1,162.623289
104,336.000000,1320.107087,1,55.702925
105,336.000000,599.488880,1,42.044462
106,336.000000,4035.237313,1,69.591700
107,336.000000,660.183919,1,96.813401
108,336.000000,3051.600580,1,98.728949
109,336.000000,1036.714805,1,136.945331
110,336.000000,903.184715,1,52.062812
111,336.000000,330.736318,1,57.718733
112,336.000000,1194.783162,1,105.395421
113,336.000000,2006.937854,1,52.253446
114,336.000000,343.451738,1,58.130243
115,336.000000,423.283216,1,76.508499
116,336.000000,460.026681,1,65.373050
117,336.000000,2463.203689,1,214.557635
118,336.000000,480.222424,1,45.287520
119,336.000000,288.151005,1,57.084843
120,336.000000,492.595608,1,62.019657
121,336.000000,546.187663,1,130.125002
122,336.000000,329.169299,1,41.332097
123,336.000000,613.807674,1,51.467003
124,336.000000,630.859350,1,315.223399
125,336.000000,405.830383,1,146.484550
126,336.000000,462.293218,1,52.248274
127,336.000000,991.780218,1,65.364735
128,336.000000,562.241461,1,97.790672
129,336.000000,759.929077,1,150.261160
130,336.000000,592.986317,1,51.170728
131,336.000000,632.213732,1,54.471626
132,336.000000,702.645423,1,101.300485
133,336.000000,703.867996,1,137.645522
134,336.000000,831.340379,1,59.260919
135,336.000000,1257.340358,1,71.966300
136,336.000000,1841.119169,1,78.960103
137,336.000000,2659.001689,1,147.175418
138,336.000000,2834.842133,1,101.998630
1,360.000000,0.000000,0,450.162586
2,360.000000,46.459987,0,51.160831
3,360.000000,0.000000,0,381.152321
4,360.000000,151.784735,1,52.225016
5,360.000000,94.054245,1,52.258619
6,360.000000,493.332734,1,56.492945
7,360.000000,26.590685,0,288.785928
8,360.000000,0.000000,0,42.607805
9,360.000000,172.231703,1,43.789737
10,360.000000,0.025978,0,154.335258
11,360.000000,0.000000,0,292.037236
12,360.000000,17.521330,0,57.031906
13,360.000000,158.758848,1,107.326159
14,360.000000,0.000000,0,178.260347
15,360.000000,356.317592,1,191.906118
16,360.000000,65.778701,1,60.697337
17,360.000000,197.077356,1,49.104228
18,360.000000,478.610275,1,108.573805
19,360.000000,2574.735338,1,79.254143
20,360.000000,0.000000,0,248.648946
21,360.000000,288.120918,1,123.753423
22,360.000000,1.417237,0,53.891057
23,360.000000,0.000000,0,39.344742
24,360.000000,163.581757,1,40.813500
25,360.000000,843.512625,1,23.495425
26,360.000000,537.319588,1,47.531385
27,360.000000,902.723385,1,56.790344
28,360.000000,703.308287,1,46.396326
29,360.000000,0.000000,0,52.101336
30,360.000000,308.549834,1,77.602311
31,360.000000,27.674712,0,75.862225
32,360.000000,117.097701,0,136.050582
33,360.000000,113.023952,0,190.218019
34,360.000000,291.507686,1,78.372864
35,360.000000,126.827761,1,28.582419
36,360.000000,815.291237,1,47.343457
37,360.000000,70.715939,1,47.305638
38,360.000000,144.019341,1,31.052056
39,360.000000,85.915774,1,75.289383
40,360.000000,303.786096,1,66.439213
41,360.000000,160.954179,1,100.633601
42,360.000000,441.864303,1,118.393540
43,360.000000,163.109395,0,173.776110
44,360.000000,94.923753,1,50.892688
45,360.000000,419.409545,1,47.607844
46,360.000000,47.401703,1,38.919038
47,360.000000,886.867658,1,130.419045
48,360.000000,3110.670935,1,42.044462
49,360.000000,4189.883300,1,46.893745
50,360.000000,505.798684,1,66.011718
51,360.000000,2033.173515,1,1181.166341
52,360.000000,11.341207,0,78.372864
53,360.000000,0.013053,0,104.293003
54,360.000000,0.009673,0,47.169590
55,360.000000,698.514462,1,57.875533
56,360.000000,241.849475,1,39.422379
57,360.000000,2995.107659,1,66.041452
58,360.000000,1830.779828,1,106.392786
59,360.000000,1608.558960,1,126.308648
60,360.000000,0.000000,0,81.983475
61,360.000000,0.000000,0,97.968849
62,360.000000,35.499377,1,34.718733
63,360.000000,0.000000,0,64.572746
64,360.000000,565.571063,1,51.180628
65,360.000000,603.570651,1,63.765433
66,360.000000,0.000000,0,113.689850
67,360.000000,1123.470001,1,79.361079
68,360.000000,0.000000,0,89.757826
69,360.000000,1596.193298,1,68.091890
70,360.000000,0.000000,0,40.724000
71,360.000000,70.083114,1,42.006685
72,360.000000,0.000000,0,38.777822
73,360.000000,81.616375,1,48.185216
74,360.000000,96.514340,1,70.453741
75,360.000000,84.725341,1,61.819628
76,360.000000,145.188713,1,105.244662
77,360.000000,93.415403,0,111.440239
78,360.000000,233.202538,1,54.729799
79,360.000000,319.491388,1,34.395239
80,360.000000,0.000000,0,49.378177
81,360.000000,0.000000,0,47.976722
82,360.000000,533.308019,1,44.762856
